Date,AAL,AZN,BATS.L,BHP,BP,CRH,DGE,EXPN.L,GSK,HSBA.L,LSE,NG,PRU,RB.L,RDS-B,RDSA.AS,REL.L,RIO,ULVR.L,VOD
2012-01-03,4.826837062835693,15.166735649108887,2010.3134765625,49.140342712402344,25.646650314331055,15.62263298034668,530.760009765625,747.0885620117188,29.55203628540039,312.15399169921875,4.179999828338623,9.119999885559082,37.90727233886719,2519.863037109375,46.76740646362305,16.79176139831543,408.13775634765625,31.614721298217773,1630.8494873046875,17.207590103149414
2012-01-04,4.741989612579346,15.087276458740234,2000.8468017578125,49.16007614135742,26.001070022583008,15.483905792236328,525.6799926757812,735.6276245117188,29.596736907958984,309.1245422363281,4.159999847412109,9.050000190734863,38.05504608154297,2509.10693359375,46.73714065551758,16.84772491455078,404.2396545410156,31.590560913085938,1606.263916015625,17.140586853027344
2012-01-05,5.156795024871826,14.890222549438477,1979.95361328125,48.23326110839844,25.710559844970703,15.044591903686523,524.0999755859375,725.015625,29.456253051757812,307.6408386230469,4.230000019073486,8.979999542236328,38.823543548583984,2516.01806640625,45.95042037963867,16.750526428222656,397.6127014160156,31.276403427124023,1616.6943359375,16.90912437438965
2012-01-06,5.279351711273193,14.928360939025879,1983.54443359375,47.62196731567383,25.611780166625977,14.420302391052246,522.8400268554688,724.1665649414062,29.48819351196289,308.0117492675781,4.210000038146973,8.819999694824219,38.963932037353516,2515.248046875,46.34378433227539,17.036230087280273,396.8330993652344,30.956205368041992,1581.677978515625,16.963945388793945
2012-01-09,5.392480850219727,14.801227569580078,1965.26318359375,47.792877197265625,25.60597038269043,14.458837509155273,525.239990234375,733.9296264648438,28.326025009155273,303.8076171875,4.170000076293945,8.9399995803833,38.61664581298828,2541.3828125,46.50716781616211,17.01856231689453,396.443359375,31.034746170043945,1590.6185302734375,16.848209381103516
2012-01-10,5.392480850219727,14.861615180969238,1977.341796875,49.11405563354492,25.79190444946289,15.013760566711426,527.77001953125,744.1173095703125,27.923742294311523,312.0303039550781,4.289999961853027,9.1899995803833,39.47380065917969,2578.265869140625,46.622154235839844,17.145214080810547,403.46002197265625,32.00741195678711,1602.538330078125,16.939577102661133
2012-01-11,5.571602821350098,14.874330520629883,1944.043701171875,49.40328598022461,25.600160598754883,14.813371658325195,523.780029296875,734.7786254882812,28.36434555053711,311.35028076171875,4.380000114440918,9.09000015258789,40.1610107421875,2600.556396484375,45.0063591003418,16.541400909423828,403.46002197265625,32.35782241821289,1552.6224365234375,16.884756088256836
2012-01-12,5.703585624694824,15.023709297180176,1952.204833984375,50.211769104003906,25.68151092529297,14.936688423156738,526.0599975585938,732.2318725585938,28.472888946533203,308.8773193359375,4.329999923706055,9.1899995803833,40.722599029541016,2563.665283203125,43.94126510620117,16.049522399902344,403.84979248046875,33.070701599121094,1553.367431640625,16.939577102661133
2012-01-13,5.628166198730469,14.842548370361328,1939.1463623046875,49.26523971557617,25.431671142578125,14.64381217956543,522.25,740.2969360351562,28.179162979125977,312.0303039550781,4.239999771118164,8.970000267028809,40.826053619384766,2543.6865234375,43.59025955200195,16.002395629882812,406.9683837890625,32.80488204956055,1531.0164794921875,16.373098373413086
2012-01-16,,,1952.204833984375,,,,,743.2682495117188,,313.8851318359375,,,,2550.606201171875,,16.07602882385254,408.91741943359375,,1547.406982421875,
2012-01-17,5.543320178985596,15.103168487548828,1937.8409423828125,50.146034240722656,25.704753875732422,14.998347282409668,528.6300048828125,743.2682495117188,28.453737258911133,319.9439697265625,4.28000020980835,8.8100004196167,40.3679084777832,2559.057861328125,43.880741119384766,16.173227310180664,408.13775634765625,33.86212158203125,1537.72216796875,16.40355110168457
2012-01-18,5.69415807723999,15.319290161132812,1934.2493896484375,51.480369567871094,25.89067840576172,15.329758644104004,531.7999877929688,757.2763061523438,29.053974151611328,318.7693176269531,4.380000114440918,8.850000381469727,41.468910217285156,2598.244873046875,44.189369201660156,16.090755462646484,409.69708251953125,34.792503356933594,1539.2119140625,16.586292266845703
2012-01-19,5.9015631675720215,15.103168487548828,1891.8106689453125,51.605255126953125,25.977827072143555,15.99258041381836,530.5499877929688,766.1904296875,28.530372619628906,331.6288757324219,4.309999942779541,9.010000228881836,42.074851989746094,2612.082763671875,44.60089111328125,16.11137580871582,411.2563171386719,34.726051330566406,1520.58642578125,16.561925888061523
2012-01-20,6.005263328552246,15.061845779418945,1907.806640625,51.36862564086914,25.576929092407227,16.10049057006836,526.9400024414062,756.0027465820312,28.645301818847656,335.27655029296875,4.340000152587891,9.229999542236328,42.38519287109375,2620.53466796875,44.0804557800293,15.93759822845459,413.98504638671875,34.6414680480957,1525.0567626953125,16.90912437438965
2012-01-23,5.9015631675720215,15.166735649108887,1925.1094970703125,51.81559371948242,25.931350708007812,15.7844877243042,526.8099975585938,752.60693359375,28.68999671936035,336.88397216796875,4.289999961853027,9.40999984741211,43.042850494384766,2585.185546875,45.2786750793457,16.261585235595703,419.0526428222656,35.22748565673828,1534.7418212890625,16.970035552978516
2012-01-24,6.042972087860107,15.147660255432129,1929.3529052734375,51.348907470703125,25.972015380859375,15.568685531616211,526.2000122070312,746.6642456054688,28.460119247436523,333.9164123535156,4.289999961853027,9.5600004196167,42.917232513427734,2585.185546875,45.351295471191406,16.32638931274414,417.4933776855469,35.058326721191406,1523.56640625,16.848209381103516
