Date,AAL,AZN,BATS.L,BHP,BP,CRH,DGE,EXPN.L,GSK,HSBA.L,NG,PRU,RB.L,RDS-B,RDSA.AS,REL.L,RIO,ULVR.L,VOD
2012-01-03,4.826837062835693,15.166735649108887,2010.3134765625,49.140342712402344,25.64665031433105,15.62263298034668,530.760009765625,747.0885620117188,29.55203628540039,312.15399169921875,9.119999885559082,37.90727233886719,2519.863037109375,46.76740646362305,16.79176139831543,408.13775634765625,31.61472129821777,1630.8494873046875,17.207590103149414
2012-01-04,4.741989612579347,15.087276458740234,2000.8468017578125,49.16007614135742,26.00107002258301,15.483905792236328,525.6799926757811,735.6276245117188,29.596736907958984,309.1245422363281,9.050000190734863,38.05504608154297,2509.10693359375,46.73714065551758,16.847724914550778,404.2396545410156,31.590560913085934,1606.263916015625,17.140586853027347
2012-01-05,5.156795024871826,14.890222549438475,1979.95361328125,48.23326110839844,25.710559844970703,15.044591903686525,524.0999755859375,725.015625,29.45625305175781,307.6408386230469,8.979999542236328,38.823543548583984,2516.01806640625,45.95042037963867,16.750526428222653,397.6127014160156,31.276403427124023,1616.6943359375,16.909124374389652
2012-01-06,5.279351711273193,14.92836093902588,1983.54443359375,47.62196731567383,25.611780166625977,14.420302391052244,522.8400268554689,724.1665649414062,29.48819351196289,308.0117492675781,8.819999694824219,38.96393203735352,2515.248046875,46.34378433227539,17.036230087280273,396.8330993652344,30.95620536804199,1581.677978515625,16.963945388793945
2012-01-09,5.392480850219727,14.801227569580078,1965.26318359375,47.79287719726562,25.60597038269043,14.458837509155273,525.239990234375,733.9296264648438,28.326025009155273,303.8076171875,8.9399995803833,38.61664581298828,2541.3828125,46.50716781616211,17.018562316894528,396.443359375,31.034746170043945,1590.6185302734375,16.848209381103516
2012-01-10,5.392480850219727,14.861615180969238,1977.341796875,49.11405563354492,25.79190444946289,15.013760566711426,527.77001953125,744.1173095703125,27.923742294311523,312.0303039550781,9.1899995803833,39.47380065917969,2578.265869140625,46.622154235839844,17.145214080810547,403.46002197265625,32.00741195678711,1602.538330078125,16.939577102661133
2012-01-11,5.571602821350098,14.874330520629885,1944.043701171875,49.40328598022461,25.600160598754886,14.813371658325195,523.780029296875,734.7786254882812,28.36434555053711,311.35028076171875,9.09000015258789,40.1610107421875,2600.556396484375,45.0063591003418,16.541400909423828,403.46002197265625,32.35782241821289,1552.6224365234375,16.884756088256836
2012-01-12,5.703585624694824,15.023709297180176,1952.204833984375,50.211769104003906,25.68151092529297,14.936688423156738,526.0599975585939,732.2318725585938,28.472888946533203,308.8773193359375,9.1899995803833,40.722599029541016,2563.665283203125,43.94126510620117,16.049522399902347,403.8497924804688,33.07070159912109,1553.367431640625,16.939577102661133
2012-01-13,5.628166198730469,14.842548370361328,1939.1463623046875,49.26523971557617,25.431671142578125,14.64381217956543,522.25,740.2969360351562,28.179162979125977,312.0303039550781,8.970000267028809,40.82605361938477,2543.6865234375,43.59025955200195,16.002395629882812,406.9683837890625,32.804882049560554,1531.0164794921875,16.373098373413086
2012-01-16,,,1952.204833984375,,,,,743.2682495117188,,313.8851318359375,,,2550.606201171875,,16.07602882385254,408.91741943359375,,1547.406982421875,
